Altium Designer Pick and Place Locations
C:\Users\tth\Documents\GitHub\Hardware\nanopower\P60\rev1\Prototype\Buck_Boost\Project_Outputs\Generates pick and place files\Buck_Boost_default_SMD.csv

========================================================================================================================
File Design Information:

Date:       04-01-17
Time:       12:59
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q2","FDMC86102L","TopLayer","MLP_3.3x3.3","90.200","78.000","0","100V, 18A, 23mR, N-Channel Shielded Gate PowerTrench MOSFET"
"TP6","red","TopLayer","test_point","95.217","99.300","0",""
"C6","4.7uF","TopLayer","CAPC0603(1608)_N","56.388","86.741","360","CAP CER 4.7UF 10V 10% X5R 0603"
"C23","1uF","TopLayer","CAPC0402(1005)_N","57.200","82.200","90","CAP CER 1UF 6.3V 10% 0402"
"C70","4.7uF","TopLayer","CAPC0603(1608)_N","58.200","79.700","180","CAP CER 4.7UF 10V 10% X5R 0603"
"C71","4.7uF","TopLayer","CAPC0805(2012)_N","82.000","89.500","180","CAP CER 4.7UF 50V 10% X5R 0805"
"C72","4.7uF","TopLayer","CAPC0805(2012)_N","82.000","91.400","180","CAP CER 4.7UF 50V 10% X5R 0805"
"C73","4.7uF","TopLayer","CAPC0805(2012)_N","74.930","83.820","90","CAP CER 4.7UF 50V 10% X5R 0805"
"C74","4.7uF","TopLayer","CAPC0805(2012)_N","78.867","86.995","360","CAP CER 4.7UF 50V 10% X5R 0805"
"C75","1µF","TopLayer","CAPC0805(2012)_N","75.000","97.300","360","CAP CER 1UF 50V X7R 0805"
"C76","1500pF","TopLayer","CAPC0805(2012)_N","63.400","95.700","180","CAP CER 1500PF 50V C0G 0805"
"C77","1µF","TopLayer","CAPC0805(2012)_N","68.500","97.300","180","CAP CER 1UF 50V X7R 0805"
"C78","4700pF","TopLayer","CAPC0805(2012)_N","86.938","95.096","360","CAP CER 4700PF 50V C0G 0805"
"C79","1500pF","TopLayer","CAPC0805(2012)_N","60.452","92.075","90","CAP CER 1500PF 50V C0G 0805"
"C80","10nF","TopLayer","CAPC0402(1005)_N","54.864","91.602","90","CAP CER 10000PF 25V 10% X7R 0402"
"C81","100 nF","TopLayer","CAPC0402(1005)_N","80.518","84.201","360","CAP CER 0.1UF 16V 10% X7R 0402"
"C82","100 nF","TopLayer","CAPC0402(1005)_N","86.100","75.200","360","CAP CER 0.1UF 16V 10% X7R 0402"
"C83","100 nF","TopLayer","CAPC0402(1005)_N","83.150","87.630","360","CAP CER 0.1UF 16V 10% X7R 0402"
"C84","100 nF","TopLayer","CAPC0402(1005)_N","88.138","80.391","180","CAP CER 0.1UF 16V 10% X7R 0402"
"C85","100 nF","TopLayer","CAPC0402(1005)_N","56.642","88.138","360","CAP CER 0.1UF 16V 10% X7R 0402"
"D8","NSR0320MW","TopLayer","SOD-323-2-477-02_V","55.800","84.000","270","Schottky Diode, 20V, 1A, Vf:240mV@10mA"
"D9","NSR0320MW","TopLayer","SOD-323-2-477-02_V","55.800","80.485","270","Schottky Diode, 20V, 1A, Vf:240mV@10mA"
"D10","BZX84J-B5V6,115","TopLayer","SOD-323-2-477-02_V","64.544","97.409","360","Zener Diodes Diode Zener Single 5.6V 2% 550mW 2-Pin"
"D11","SD0805S020S0R5","TopLayer","SD0805S020S0R5","65.913","93.730","90","DIODE SCHOTTKY 20V 500MA 0805"
"D12","SS2P4","TopLayer","DO220AA","88.429","92.556","0","DIODE SCHOTTKY 40V 2A DO220AA"
"J1","ATE1E-2M3-10-Z","TopLayer","Toggleswitch","78.105","77.089","90","SWITCH TOGGLE SPDT 50MA 48V"
"L2","4.7uH","TopLayer","Inductor_Body_7.7x9.0mm","71.882","92.329","180","Intoctor 4.7uH, 1.6A, 1.65mm hight"
"Q1","FDMC86102L","TopLayer","MLP_3.3x3.3","86.614","89.027","180","100V, 18A, 23mR, N-Channel Shielded Gate PowerTrench MOSFET"
"R11","1k","TopLayer","RESC0402(1005)_N","58.547","87.214","270","RES SMD 1K OHM 1% 1/10W 0402"
"R25","10","TopLayer","RESC0603(1608)_N","58.600","82.200","270","RES SMD 10 OHM 1% 1/10W 0603"
"R33","10k","TopLayer","RESC0402(1005)_N","87.300","85.700","90","RES SMD 10K OHM 1% 1/16W 0402"
"R36","1k","TopLayer","RESC0402(1005)_N","60.960","95.504","270","RES SMD 1K OHM 1% 1/16W 0402"
"R57","10k","TopLayer","RESC0402(1005)_N","81.280","87.249","90","RES SMD 10K OHM 1% 1/16W 0402"
"R58","1k","TopLayer","RESC0402(1005)_N","61.595","97.409","360","RES SMD 1K OHM 1% 1/16W 0402"
"R59","1k","TopLayer","RESC0402(1005)_N","86.106","85.725","270","RES SMD 1K OHM 1% 1/16W 0402"
"R60","1k","TopLayer","RESC0402(1005)_N","56.896","92.202","360","RES SMD 1K OHM 1% 1/10W 0402"
"R61","1M","TopLayer","RESC0402(1005)_N","80.483","85.344","360","RES SMD 1M OHM 1% 1/16W 0402"
"R62","100k","TopLayer","RESC0402(1005)_N","76.708","84.201","90","RES SMD 100K OHM 1% 1/16W 0402"
"R63","100k","TopLayer","RESC0402(1005)_N","78.105","84.201","90","RES SMD 100K OHM 1% 1/16W 0402"
"R64","10","TopLayer","RESC0805(2012)_N","90.367","95.096","360","RES SMD 10 OHM 1% 1/8W 0805"
"R65","10","TopLayer","RESC0805(2012)_N","63.400","93.700","360","RES SMD 10 OHM 1% 1/8W 0805"
"R66","10","TopLayer","RESC0805(2012)_N","63.400","91.700","360","RES SMD 10 OHM 1% 1/8W 0805"
