Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R9         0402               281.496mil     34.449mil    281.496mil     34.449mil    281.496mil     14.764mil  B         90.00 Res3           
C59        0402               316.929mil     76.772mil    316.929mil     76.772mil    316.929mil     96.457mil  B        270.00 Cap Semi       
C58        0402                303.15mil    -43.307mil     303.15mil    -43.307mil    322.835mil    -43.307mil  B        180.00 Cap Semi       
R7         0402              2277.559mil    753.937mil   2277.559mil    753.937mil   2277.559mil    773.622mil  B        270.00 Res3           
C53        0402              2278.543mil    674.213mil   2278.543mil    674.213mil   2278.543mil    654.528mil  B         90.00 Cap Semi       
U3         SOT23_N            192.913mil    105.315mil    192.913mil    105.315mil    155.512mil    144.685mil  B         90.00 LM4040AIM3-2.5 
U2         SOT23_N           1929.134mil   1185.039mil   1929.134mil   1185.039mil   1966.535mil   1145.669mil  B        270.00 LM4040AIM3-2.5 
R5         0402               156.496mil     28.543mil    156.496mil     28.543mil    156.496mil     48.228mil  B        270.00 Res3           
R4         0402              1911.417mil   1109.252mil   1911.417mil   1109.252mil   1931.102mil   1109.252mil  B        180.00 Res3           
C15        0402               234.252mil     27.559mil    234.252mil     27.559mil    234.252mil      7.874mil  B         90.00 Cap Semi       
C14        0402              2358.268mil    841.535mil   2358.268mil    841.535mil   2358.268mil     821.85mil  B         90.00 Cap Semi       
C11        0402               1986.22mil   1109.252mil    1986.22mil   1109.252mil   1966.535mil   1109.252mil  B        360.00 Cap Semi       
C3.P1      1608[0603]          782.48mil    -31.496mil     782.48mil    -31.496mil    754.921mil    -31.496mil  B        360.00 Cap Semi       
C6.P9      1608[0603]         417.323mil   1090.551mil    417.323mil   1090.551mil    444.882mil   1090.551mil  B        180.00 Cap Semi       
C6.P8      1608[0603]         673.228mil   1090.551mil    673.228mil   1090.551mil    700.787mil   1090.551mil  B        180.00 Cap Semi       
C6.P7      1608[0603]         948.819mil   1090.551mil    948.819mil   1090.551mil    976.378mil   1090.551mil  B        180.00 Cap Semi       
C6.P6      1608[0603]         948.819mil    716.535mil    948.819mil    716.535mil    976.378mil    716.535mil  B        180.00 Cap Semi       
C6.P5      1608[0603]         673.228mil    716.535mil    673.228mil    716.535mil    700.787mil    716.535mil  B        180.00 Cap Semi       
C6.P4      1608[0603]         948.819mil     342.52mil    948.819mil     342.52mil    976.378mil     342.52mil  B        180.00 Cap Semi       
C6.P3      1608[0603]         673.228mil     342.52mil    673.228mil     342.52mil    700.787mil     342.52mil  B        180.00 Cap Semi       
C6.P2      1608[0603]         948.819mil    -31.496mil    948.819mil    -31.496mil    976.378mil    -31.496mil  B        180.00 Cap Semi       
C6.P1      1608[0603]         673.228mil    -31.496mil    673.228mil    -31.496mil    700.787mil    -31.496mil  B        180.00 Cap Semi       
R1.P9      0402               467.519mil   1149.606mil    467.519mil   1149.606mil    467.519mil   1129.921mil  T         90.00 Res3           
R1.P8      0402               723.425mil   1149.606mil    723.425mil   1149.606mil    723.425mil   1129.921mil  T         90.00 Res3           
R1.P7      0402               999.016mil   1149.606mil    999.016mil   1149.606mil    999.016mil   1129.921mil  T         90.00 Res3           
R1.P6      0402              1003.937mil    775.591mil   1003.937mil    775.591mil   1003.937mil    755.906mil  T         90.00 Res3           
R1.P5      0402               728.346mil    775.591mil    728.346mil    775.591mil    728.346mil    755.906mil  T         90.00 Res3           
R1.P4      0402              1003.937mil    401.575mil   1003.937mil    401.575mil   1003.937mil     381.89mil  T         90.00 Res3           
R1.P3      0402               728.346mil    401.575mil    728.346mil    401.575mil    728.346mil     381.89mil  T         90.00 Res3           
R1.P2      0402              1003.937mil     27.559mil   1003.937mil     27.559mil   1003.937mil      7.874mil  T         90.00 Res3           
R1.P1      0402               728.346mil     27.559mil    728.346mil     27.559mil    728.346mil      7.874mil  T         90.00 Res3           
U23        QFN32-5X5MM        458.661mil     82.677mil    458.661mil     82.677mil    360.236mil      13.78mil  B        360.00 ADS7952        
U22        QFN32-5X5MM       2213.583mil    937.008mil   2213.583mil    937.008mil    2282.48mil    838.583mil  B         90.00 ADS7952        
P2         TFM-115-02-X-DH   2072.441mil    666.732mil   1941.929mil   1016.732mil   2003.346mil    316.732mil  T         90.00 TFM-115-02-L-DH
C62        0402                486.22mil    337.599mil     486.22mil    337.599mil     486.22mil    317.913mil  T         90.00 Cap Semi       
R50        0402               401.575mil    337.599mil    401.575mil    337.599mil    401.575mil    317.913mil  T         90.00 Res3           
R51        0402               443.898mil    337.599mil    443.898mil    337.599mil    443.898mil    357.284mil  T        270.00 Res3           
U12        SOIC127P600X175-14N   2228.347mil    440.945mil   2228.347mil    440.945mil   2125.984mil    290.945mil  B          0.00 FM33256B-G     
U8         SOT353            1255.906mil    747.047mil   1255.906mil    747.047mil   1213.583mil    721.457mil  B        360.00 74AHC1G14      
U7         SOT6-1MM          1255.906mil    581.693mil   1255.906mil    581.693mil   1204.725mil    544.291mil  B        360.00 LTC6908        
U5.Bu3     QFN-18-LT8614      1659.73mil   1156.466mil    1659.73mil   1156.466mil   1600.675mil   1107.254mil  B        360.00 LT8614         
U5.Bu2     QFN-18-LT8614      1659.73mil    664.341mil    1659.73mil    664.341mil   1600.675mil    615.128mil  B        360.00 LT8614         
U5.Bu1     QFN-18-LT8614     1659.729mil    172.214mil   1659.729mil    172.214mil   1600.674mil    123.002mil  B        360.00 LT8614         
U21.P9     MSOP-8             470.473mil   1226.378mil    470.473mil   1226.378mil    391.732mil   1187.992mil  B        360.00 AD8418WBRMZ    
U21.P8     MSOP-8             726.378mil   1226.378mil    726.378mil   1226.378mil    647.638mil   1187.992mil  B        360.00 AD8418WBRMZ    
U21.P7     MSOP-8            1001.969mil   1226.378mil   1001.969mil   1226.378mil    923.228mil   1187.992mil  B        360.00 AD8418WBRMZ    
U21.P6     MSOP-8            1001.969mil    852.362mil   1001.969mil    852.362mil    923.228mil    813.976mil  B        360.00 AD8418WBRMZ    
U21.P5     MSOP-8             726.378mil    852.362mil    726.378mil    852.362mil    647.638mil    813.976mil  B        360.00 AD8418WBRMZ    
U21.P4     MSOP-8            1001.969mil    478.346mil   1001.969mil    478.346mil    923.228mil    439.961mil  B        360.00 AD8418WBRMZ    
U21.P3     MSOP-8             726.378mil    478.346mil    726.378mil    478.346mil    647.638mil    439.961mil  B        360.00 AD8418WBRMZ    
U21.P2     MSOP-8            1001.969mil    104.331mil   1001.969mil    104.331mil    923.228mil     65.945mil  B        360.00 AD8418WBRMZ    
U21.P1     MSOP-8             726.378mil    104.331mil    726.378mil    104.331mil    647.638mil     65.945mil  B        360.00 AD8418WBRMZ    
U1.P9      DFN8-NCP           496.063mil   1230.315mil    496.063mil   1230.315mil    542.323mil   1200.787mil  T        180.00 NCP45521       
U1.P8      DFN8-NCP           751.968mil   1230.315mil    751.968mil   1230.315mil    798.228mil   1200.787mil  T        180.00 NCP45521       
U1.P7      DFN8-NCP          1027.559mil   1230.315mil   1027.559mil   1230.315mil   1073.819mil   1200.787mil  T        180.00 NCP45521       
U1.P6      DFN8-NCP          1027.559mil    856.299mil   1027.559mil    856.299mil   1073.819mil    826.772mil  T        180.00 NCP45521       
U1.P5      DFN8-NCP           751.968mil    856.299mil    751.968mil    856.299mil    798.228mil    826.772mil  T        180.00 NCP45521       
U1.P4      DFN8-NCP          1027.559mil    482.283mil   1027.559mil    482.283mil   1073.819mil    452.756mil  T        180.00 NCP45521       
U1.P3      DFN8-NCP           751.968mil    482.283mil    751.968mil    482.283mil    798.228mil    452.756mil  T        180.00 NCP45521       
U1.P2      DFN8-NCP          1027.559mil    108.268mil   1027.559mil    108.268mil   1073.819mil      78.74mil  T        180.00 NCP45521       
U1.P1      DFN8-NCP           751.968mil    108.268mil    751.968mil    108.268mil    798.228mil      78.74mil  T        180.00 NCP45521       
R24.Bu3    0402              1515.748mil   1003.937mil   1515.748mil   1003.937mil   1515.748mil    984.252mil  B         90.00 Res3           
R24.Bu2    0402              1515.748mil    511.811mil   1515.748mil    511.811mil   1515.748mil    492.126mil  B         90.00 Res3           
R24.Bu1    0402              1515.748mil     19.685mil   1515.748mil     19.685mil   1515.748mil          0mil  B         90.00 Res3           
R23.Bu3    0402              1811.024mil   1122.047mil   1811.024mil   1122.047mil   1811.024mil   1141.732mil  B        270.00 Res3           
R23.Bu2    0402              1811.024mil    629.921mil   1811.024mil    629.921mil   1811.024mil    649.606mil  B        270.00 Res3           
R23.Bu1    0402              1811.024mil    137.795mil   1811.024mil    137.795mil   1811.024mil     157.48mil  B        270.00 Res3           
R22.Bu3    0402              1751.968mil   1003.937mil   1751.968mil   1003.937mil   1751.968mil   1023.622mil  B        270.00 Res3           
R22.Bu2    0402              1751.968mil    511.811mil   1751.968mil    511.811mil   1751.968mil    531.496mil  B        270.00 Res3           
R22.Bu1    0402              1751.968mil     19.685mil   1751.968mil     19.685mil   1751.968mil      39.37mil  B        270.00 Res3           
R21        J1-0603           1896.653mil    1321.85mil   1896.654mil    1321.85mil   1926.181mil    1321.85mil  B        180.00 Res3           
R17        0402              1359.252mil    600.394mil   1359.252mil    600.394mil   1359.252mil    580.709mil  B         90.00 Res3           
R16        0402               1296.26mil    497.047mil    1296.26mil    497.047mil   1315.945mil    497.047mil  B        180.00 Res3           
R13.Bu3    0402              1712.598mil   1003.937mil   1712.598mil   1003.937mil   1712.598mil    984.252mil  B         90.00 Res3           
R13.Bu2    0402              1712.598mil    511.811mil   1712.598mil    511.811mil   1712.598mil    492.126mil  B         90.00 Res3           
R13.Bu1    0402              1712.598mil     19.685mil   1712.598mil     19.685mil   1712.598mil          0mil  B         90.00 Res3           
R12.Bu3    0402              1633.858mil   1003.937mil   1633.858mil   1003.937mil   1633.858mil   1023.622mil  B        270.00 Res3           
R12.Bu2    0402              1633.858mil    511.811mil   1633.858mil    511.811mil   1633.858mil    531.496mil  B        270.00 Res3           
R12.Bu1    0402              1633.858mil     19.685mil   1633.858mil     19.685mil   1633.858mil      39.37mil  B        270.00 Res3           
R11.Bu3    0402              1555.118mil   1003.937mil   1555.118mil   1003.937mil   1555.118mil   1023.622mil  B        270.00 Res3           
R11.Bu2    0402              1555.118mil    511.811mil   1555.118mil    511.811mil   1555.118mil    531.496mil  B        270.00 Res3           
R11.Bu1    0402              1555.118mil     19.685mil   1555.118mil     19.685mil   1555.118mil      39.37mil  B        270.00 Res3           
R10.Bu3    0402              1811.024mil   1200.787mil   1811.024mil   1200.787mil   1811.024mil   1181.102mil  B         90.00 Res3           
R10.Bu2    0402              1811.024mil    708.661mil   1811.024mil    708.661mil   1811.024mil    688.976mil  B         90.00 Res3           
R10.Bu1    0402              1811.024mil    216.535mil   1811.024mil    216.535mil   1811.024mil     196.85mil  B         90.00 Res3           
R8.P9      0402               417.692mil    697.835mil    417.692mil    697.835mil    417.692mil     717.52mil  B        270.00 Res3           
R8.P8      0402                509.35mil    697.835mil     509.35mil    697.835mil     509.35mil     717.52mil  B        270.00 Res3           
R8.P7      0402               529.528mil    762.795mil    529.528mil    762.795mil    549.213mil    762.795mil  B        180.00 Res3           
R8.P6      0402                509.35mil    599.737mil     509.35mil    599.737mil     509.35mil    619.423mil  B        270.00 Res3           
R8.P5      0402               417.692mil    599.737mil    417.692mil    599.737mil    417.692mil    619.423mil  B        270.00 Res3           
R8.P4      0402                509.35mil     501.64mil     509.35mil     501.64mil     509.35mil    521.325mil  B        270.00 Res3           
R8.P3      0402               417.692mil     501.64mil    417.692mil     501.64mil    417.692mil    521.325mil  B        270.00 Res3           
R8.P2      0402                509.35mil    403.543mil     509.35mil    403.543mil     509.35mil    423.228mil  B        270.00 Res3           
R8.P1      0402               417.692mil    403.543mil    417.692mil    403.543mil    417.692mil    423.228mil  B        270.00 Res3           
R6.P9      0402               519.685mil   1330.709mil    519.685mil   1330.709mil    519.685mil   1350.394mil  B        270.00 Res3           
R6.P8      0402               775.591mil   1330.709mil    775.591mil   1330.709mil    775.591mil   1350.394mil  B        270.00 Res3           
R6.P7      0402              1051.181mil   1330.709mil   1051.181mil   1330.709mil   1051.181mil   1350.394mil  B        270.00 Res3           
R6.P6      0402              1051.181mil    956.693mil   1051.181mil    956.693mil   1051.181mil    976.378mil  B        270.00 Res3           
R6.P5      0402               775.591mil    956.693mil    775.591mil    956.693mil    775.591mil    976.378mil  B        270.00 Res3           
R6.P4      0402              1051.181mil    582.677mil   1051.181mil    582.677mil   1051.181mil    602.362mil  B        270.00 Res3           
R6.P3      0402               775.591mil    582.677mil    775.591mil    582.677mil    775.591mil    602.362mil  B        270.00 Res3           
R6.P2      0402              1051.181mil    208.661mil   1051.181mil    208.661mil   1051.181mil    228.346mil  B        270.00 Res3           
R6.P1      0402               775.591mil    208.661mil    775.591mil    208.661mil    775.591mil    228.346mil  B        270.00 Res3           
R39.P9     0402               555.118mil   1330.709mil    555.118mil   1330.709mil    555.118mil   1350.394mil  B        270.00 Res3           
R39.P8     0402               811.024mil   1330.709mil    811.024mil   1330.709mil    811.024mil   1350.394mil  B        270.00 Res3           
R39.P7     0402              1086.614mil   1330.709mil   1086.614mil   1330.709mil   1086.614mil   1350.394mil  B        270.00 Res3           
R39.P6     0402              1086.614mil    956.693mil   1086.614mil    956.693mil   1086.614mil    976.378mil  B        270.00 Res3           
R39.P5     0402               811.024mil    956.693mil    811.024mil    956.693mil    811.024mil    976.378mil  B        270.00 Res3           
R39.P4     0402              1086.614mil    582.677mil   1086.614mil    582.677mil   1086.614mil    602.362mil  B        270.00 Res3           
R39.P3     0402               811.024mil    582.677mil    811.024mil    582.677mil    811.024mil    602.362mil  B        270.00 Res3           
R39.P2     0402              1086.614mil    208.661mil   1086.614mil    208.661mil   1086.614mil    228.346mil  B        270.00 Res3           
R39.P1     0402               811.024mil    208.661mil    811.024mil    208.661mil    811.024mil    228.346mil  B        270.00 Res3           
R27.P9     J1-0603            471.457mil   1139.764mil    471.457mil   1139.764mil    500.984mil   1139.764mil  B        180.00 Res3           
R27.P8     J1-0603            727.362mil   1139.764mil    727.362mil   1139.764mil     756.89mil   1139.764mil  B        180.00 Res3           
R27.P7     J1-0603           1002.953mil   1139.764mil   1002.953mil   1139.764mil    1032.48mil   1139.764mil  B        180.00 Res3           
R27.P6     J1-0603           1002.953mil    765.748mil   1002.953mil    765.748mil    1032.48mil    765.748mil  B        180.00 Res3           
R27.P5     J1-0603            727.362mil    765.748mil    727.362mil    765.748mil     756.89mil    765.748mil  B        180.00 Res3           
R27.P4     J1-0603           1002.953mil    391.732mil   1002.953mil    391.732mil    1032.48mil    391.732mil  B        180.00 Res3           
R27.P3     J1-0603            727.362mil    391.732mil    727.362mil    391.732mil     756.89mil    391.732mil  B        180.00 Res3           
R27.P2     J1-0603           1002.953mil     17.717mil   1002.953mil     17.716mil    1032.48mil     17.717mil  B        180.00 Res3           
R27.P1     J1-0603            727.362mil     17.717mil    727.362mil     17.716mil     756.89mil     17.717mil  B        180.00 Res3           
P1.P9      0603-ch-sel        495.079mil   1323.819mil    495.079mil   1323.819mil    439.961mil   1345.472mil  T        180.00 0603-ch-sel    
P1.P8      0603-ch-sel        750.984mil   1323.819mil    750.984mil   1323.819mil    695.866mil   1345.472mil  T        180.00 0603-ch-sel    
P1.P7      0603-ch-sel       1026.575mil   1323.819mil   1026.575mil   1323.819mil    971.457mil   1345.472mil  T        180.00 0603-ch-sel    
P1.P6      0603-ch-sel       1026.575mil    949.803mil   1026.575mil    949.803mil    971.457mil    971.457mil  T        180.00 0603-ch-sel    
P1.P5      0603-ch-sel        750.984mil    949.803mil    750.984mil    949.803mil    695.866mil    971.457mil  T        180.00 0603-ch-sel    
P1.P4      0603-ch-sel       1026.575mil    575.787mil   1026.575mil    575.787mil    971.457mil    597.441mil  T        180.00 0603-ch-sel    
P1.P3      0603-ch-sel        750.984mil    575.787mil    750.984mil    575.787mil    695.866mil    597.441mil  T        180.00 0603-ch-sel    
P1.P2      0603-ch-sel       1026.575mil    201.772mil   1026.575mil    201.772mil    971.457mil    223.425mil  T        180.00 0603-ch-sel    
P1.P1      0603-ch-sel        750.984mil    201.772mil    750.984mil    201.772mil    695.866mil    223.425mil  T        180.00 0603-ch-sel    
I1.Bu3     3800-SERIES       1540.635mil   1152.529mil   1540.635mil   1160.403mil   1648.903mil   1321.821mil  T        180.00 38L432C        
I1.Bu2     3800-SERIES       1540.635mil    660.404mil   1540.635mil    668.278mil   1648.903mil    829.695mil  T        180.00 38L432C        
I1.Bu1     3800-SERIES       1540.635mil    168.278mil   1540.635mil    176.152mil   1648.903mil    337.569mil  T        180.00 38L432C        
C49.Bu3    C1210-Stacked-6.15   1260.123mil   1271.624mil   1260.123mil   1271.624mil   1260.123mil   1218.474mil  T         90.00 Cap Semi       
C49.Bu2    C1210-Stacked-6.15   1260.123mil    779.498mil   1260.123mil    779.498mil   1260.123mil    726.348mil  T         90.00 Cap Semi       
C49.Bu1    C1210-Stacked-6.15   1260.123mil    287.372mil   1260.123mil    287.372mil   1260.123mil    234.222mil  T         90.00 Cap Semi       
C48.Bu3    C1210-Stacked-6.15   1259.842mil   1043.307mil   1259.843mil   1043.307mil   1259.842mil    990.157mil  T         90.00 100V           
C48.Bu2    C1210-Stacked-6.15   1259.842mil    551.181mil   1259.843mil    551.181mil   1259.842mil    498.031mil  T         90.00 100V           
C48.Bu1    C1210-Stacked-6.15   1259.842mil     59.055mil   1259.843mil     59.055mil   1259.842mil      5.905mil  T         90.00 100V           
C47.Bu3    0402              1594.488mil   1003.937mil   1594.488mil   1003.937mil   1594.488mil   1023.622mil  B        270.00 Cap Semi       
C47.Bu2    0402              1594.488mil    511.811mil   1594.488mil    511.811mil   1594.488mil    531.496mil  B        270.00 Cap Semi       
C47.Bu1    0402              1594.488mil     19.685mil   1594.488mil     19.685mil   1594.488mil      39.37mil  B        270.00 Cap Semi       
C23.Bu3    0402              1533.745mil   1098.396mil   1533.745mil   1098.396mil   1533.745mil   1078.711mil  B         90.00 Cap Semi       
C23.Bu2    0402              1533.745mil     606.27mil   1533.745mil     606.27mil   1533.745mil    586.585mil  B         90.00 Cap Semi       
C23.Bu1    0402              1533.745mil    114.144mil   1533.745mil    114.144mil   1533.745mil     94.459mil  B         90.00 Cap Semi       
C22.Bu3    0402              1811.024mil   1043.307mil   1811.024mil   1043.307mil   1811.024mil   1023.622mil  B         90.00 Cap Semi       
