Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R9         0402                   7.15mm       0.875mm        7.15mm       0.875mm        7.15mm       0.375mm  B         90.00 Res3           
C59        0402                   8.05mm        1.95mm        8.05mm        1.95mm        8.05mm        2.45mm  B        270.00 Cap Semi       
C58        0402                    7.7mm        -1.1mm         7.7mm        -1.1mm         8.2mm        -1.1mm  B        180.00 Cap Semi       
R7         0402                  57.85mm       19.15mm       57.85mm       19.15mm       57.85mm       19.65mm  B        270.00 Res3           
C53        0402                 57.875mm      17.125mm      57.875mm      17.125mm      57.875mm      16.625mm  B         90.00 Cap Semi       
U3         SOT23_N                 4.9mm       2.675mm         4.9mm       2.675mm        3.95mm       3.675mm  B         90.00 LM4040AIM3-2.5 
U2         SOT23_N                  49mm        30.1mm          49mm        30.1mm       49.95mm        29.1mm  B        270.00 LM4040AIM3-2.5 
R5         0402                  3.975mm       0.725mm       3.975mm       0.725mm       3.975mm       1.225mm  B        270.00 Res3           
R4         0402                  48.55mm      28.175mm       48.55mm      28.175mm       49.05mm      28.175mm  B        180.00 Res3           
C15        0402                   5.95mm         0.7mm        5.95mm         0.7mm        5.95mm         0.2mm  B         90.00 Cap Semi       
C14        0402                   59.9mm      21.375mm        59.9mm      21.375mm        59.9mm      20.875mm  B         90.00 Cap Semi       
C11        0402                  50.45mm      28.175mm       50.45mm      28.175mm       49.95mm      28.175mm  B        360.00 Cap Semi       
C3.P1      1608[0603]           19.875mm        -0.8mm      19.875mm        -0.8mm      19.175mm        -0.8mm  B        360.00 Cap Semi       
C6.P9      1608[0603]             10.6mm        27.7mm        10.6mm        27.7mm        11.3mm        27.7mm  B        180.00 Cap Semi       
C6.P8      1608[0603]             17.1mm        27.7mm        17.1mm        27.7mm        17.8mm        27.7mm  B        180.00 Cap Semi       
C6.P7      1608[0603]             24.1mm        27.7mm        24.1mm        27.7mm        24.8mm        27.7mm  B        180.00 Cap Semi       
C6.P6      1608[0603]             24.1mm        18.2mm        24.1mm        18.2mm        24.8mm        18.2mm  B        180.00 Cap Semi       
C6.P5      1608[0603]             17.1mm        18.2mm        17.1mm        18.2mm        17.8mm        18.2mm  B        180.00 Cap Semi       
C6.P4      1608[0603]             24.1mm         8.7mm        24.1mm         8.7mm        24.8mm         8.7mm  B        180.00 Cap Semi       
C6.P3      1608[0603]             17.1mm         8.7mm        17.1mm         8.7mm        17.8mm         8.7mm  B        180.00 Cap Semi       
C6.P2      1608[0603]             24.1mm        -0.8mm        24.1mm        -0.8mm        24.8mm        -0.8mm  B        180.00 Cap Semi       
C6.P1      1608[0603]             17.1mm        -0.8mm        17.1mm        -0.8mm        17.8mm        -0.8mm  B        180.00 Cap Semi       
R1.P9      0402                 11.875mm        29.2mm      11.875mm        29.2mm      11.875mm        28.7mm  T         90.00 Res3           
R1.P8      0402                 18.375mm        29.2mm      18.375mm        29.2mm      18.375mm        28.7mm  T         90.00 Res3           
