"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R104","RESC1608M","33.55mm","15.05mm","33.55mm","15.05mm","33.55mm","14.1mm","B","90.00","10k N.M."
"R701","R0603","52.0499mm","23.6mm","52.05mm","23.6mm","51.1999mm","23.6mm","T","360.00","0R N.M."
"U700","SO8_PowerPad","53.2mm","20.4mm","53.2mm","20.4mm","50.6mm","22.305mm","T","360.00","TPS2421-2"
"R700","R0603","58.8999mm","18.6mm","58.9mm","18.6mm","58.0499mm","18.6mm","T","360.00","500k"
"C700","CAPC1608M","58.95mm","20.05mm","58.95mm","20.05mm","59.85mm","20.05mm","T","180.00","100nF"
"Q411","Power56","11.195mm","12.83mm","13.1mm","15.5mm","13.1mm","15.5mm","T","180.00","FDMS6673BZ"
"Q410","Power56","5.095mm","12.83mm","7mm","15.5mm","7mm","15.5mm","T","180.00","FDMS6673BZ"
"J2","PIN1","29.5mm","39.878mm","29.5mm","39.6mm","29.5mm","39.878mm","T","0.00","Socket"
"U605","SOT26A-6AM","39.7mm","61mm","39.7mm","61mm","40.825mm","61.95mm","B","180.00","DAC7512"
"U604","SOT26A-6AM","8.1mm","62.8mm","8.1mm","62.8mm","7.15mm","63.925mm","B","270.00","DAC7512"
"U603","SOT23-5AM","65.8mm","63.2mm","65.8mm","63.2mm","64.6mm","62.25mm","B","360.00","ADG701"
"U602","SOT26A-6AM","61.5mm","58.6mm","61.5mm","58.6mm","60.375mm","57.65mm","B","360.00","DAC7512"
"R304","RESC1608M","76.2mm","16.9mm","76.2mm","16.9mm","76.2mm","15.95mm","B","90.00","1k5"
"R303","RESC1608M","74.5mm","16.9mm","74.5mm","16.9mm","74.5mm","15.95mm","B","90.00","1k5"
"R7_M506","RESC1608M","53.4mm","7.8mm","53.4mm","7.8mm","53.4mm","6.85mm","B","90.00","2k"
"R7_M505","RESC1608M","17.9mm","6.4mm","17.9mm","6.4mm","16.95mm","6.4mm","B","360.00","2k"
"R7_M504","RESC1608M","36.7mm","14.3mm","36.7mm","14.3mm","36.7mm","15.25mm","B","270.00","2k"
"R7_M503","RESC1608M","59.7mm","35.15mm","59.7mm","35.15mm","59.7mm","36.1mm","B","270.00","2k"
"R7_M502","RESC1608M","50.8mm","36.3mm","50.8mm","36.3mm","49.85mm","36.3mm","B","360.00","2k"
"R7_M501","RESC1608M","35.3mm","25.5mm","35.3mm","25.5mm","35.3mm","24.55mm","B","90.00","2k"
"C4_M506","C0603K","53.4mm","4.55mm","53.4mm","4.55mm","53.4mm","5.425mm","B","270.00","1uF"
"C4_M505","C0603K","17.85mm","4.95mm","17.85mm","4.95mm","16.975mm","4.95mm","B","360.00","1uF"
"C4_M504","C0603K","35.3mm","14.3mm","35.3mm","14.3mm","35.3mm","15.175mm","B","270.00","1uF"
"C4_M503","C0603K","58.15mm","35.15mm","58.15mm","35.15mm","58.15mm","36.025mm","B","270.00","1uF"
"C4_M502","C0603K","54.3mm","36.3mm","54.3mm","36.3mm","53.425mm","36.3mm","B","360.00","1uF"
"C4_M501","C0603K","36.7mm","23.7mm","36.7mm","23.7mm","36.7mm","24.575mm","B","270.00","1uF"
"R6_B3","RESC1608M","71.6mm","70mm","71.6mm","70mm","71.6mm","70.95mm","B","270.00","2k"
"R6_B2","RESC1608M","44.5mm","70.1mm","44.5mm","70.1mm","44.5mm","71.05mm","B","270.00","2k"
"R6_B1","RESC1608M","17.8mm","70.3mm","17.8mm","70.3mm","17.8mm","71.25mm","B","270.00","2k"
"C6_B3","CAPC1608M","70mm","70mm","70mm","70mm","70mm","69.1mm","B","90.00","1uF"
"C6_B2","CAPC1608M","42.9mm","70.1mm","42.9mm","70.1mm","42.9mm","69.2mm","B","90.00","1uF"
"C6_B1","CAPC1608M","16.2mm","70.3mm","16.2mm","70.3mm","16.2mm","69.4mm","B","90.00","1uF"
"R103","RESC1608M","3.4mm","58.2mm","3.4mm","58.2mm","4.35mm","58.2mm","B","180.00","2K"
"R102","RESC1608M","7.5mm","23.3mm","7.5mm","23.3mm","7.5mm","22.35mm","B","90.00","2K"
"C103","CAPC1608M","6.4mm","56.9mm","6.4mm","56.9mm","6.4mm","57.8mm","B","270.00","1uF"
"C102","CAPC1608M","9mm","23.3mm","9mm","23.3mm","9mm","22.4mm","B","90.00","1uF"
"R622","RESC1608M","69.5mm","40mm","69.5mm","40mm","69.5mm","39.05mm","B","90.00","300k"
"R621","RESC1608M","34.2mm","59.2mm","34.2mm","59.2mm","33.25mm","59.2mm","B","360.00","300k"
"R620","RESC1608M","29.4mm","58.4mm","29.4mm","58.4mm","28.45mm","58.4mm","B","360.00","300k"
"R619","RESC1608M","29.4mm","56.8mm","29.4mm","56.8mm","28.45mm","56.8mm","B","360.00","300k"
"R414","RESC1608M","12.8mm","6.6mm","12.8mm","6.6mm","12.8mm","7.55mm","B","270.00","100k"
"P601","Picoblade_4_pin","34.764mm","80.569mm","34.75mm","79.15mm","32.875mm","79.15mm","B","360.00","53261-0471"
"U601","SOT23-3M","54.5mm","41.95mm","54.5mm","41.95mm","55.5mm","42.9mm","B","180.00","LM4040AIM3-3.0"
"P600","Picoblade_6_pin","22.614mm","80.569mm","21.35mm","79.15mm","19.475mm","79.15mm","B","360.00","53261-0671"
"PBAT","BATTERY-CONNECTOR","0mm","34.798mm","0mm","34.798mm","2.54mm","41.798mm","B","180.00","2x8WAY"
"C4_B50","CAPC1608M","51.55mm","16mm","51.55mm","16mm","51.55mm","15.1mm","T","90.00","10nF"
"C2_B50","CAPC3216M","53.25mm","13mm","53.25mm","13mm","51.7mm","13mm","T","360.00","4.7uF"
"U1_M506","SOP8","61.913mm","5.371mm","59.213mm","1.621mm","63.818mm","2.821mm","B","90.00","MIC2043-2YM"
"U1_M505","SOP8","26.367mm","5.36mm","23.667mm","1.61mm","28.272mm","2.81mm","B","90.00","MIC2043-2YM"
"U1_M504","SOP8","44.178mm","5.358mm","41.478mm","1.608mm","46.083mm","2.808mm","B","90.00","MIC2043-2YM"
"U1_M503","SOP8","63.286mm","29.1mm","65.986mm","32.85mm","61.381mm","31.65mm","B","270.00","MIC2043-2YM"
"U1_M502","SOP8","45.547mm","29.098mm","48.247mm","32.848mm","43.642mm","31.648mm","B","270.00","MIC2043-2YM"
"U1_M501","SOP8","27.818mm","29.038mm","30.518mm","32.788mm","25.913mm","31.588mm","B","270.00","MIC2043-2YM"
"BAT100","DUAL-18650-SINGLEENDED","34.192mm","39.878mm","18.748mm","39.878mm","5.948mm","50.69mm","T","0.00","BP2"
"C1_B1","CAPC2012M","9.6mm","69.5mm","9.6mm","69.5mm","8.65mm","69.5mm","B","360.00","220nF"
"C1_B2","CAPC2012M","36.4mm","69.5mm","36.4mm","69.5mm","35.45mm","69.5mm","B","360.00","220nF"
"C1_B3","CAPC2012M","63.3mm","69.5mm","63.3mm","69.5mm","62.35mm","69.5mm","B","360.00","220nF"
"C2_B1","594D107X9016D2T","19.709mm","65.483mm","19.709mm","67.783mm","19.709mm","67.783mm","T","270.00","100uF"
"C2_B2","594D107X9016D2T","46.857mm","65.481mm","46.857mm","67.781mm","46.857mm","67.781mm","T","270.00","100uF"
"C2_B3","594D107X9016D2T","73.791mm","65.504mm","73.791mm","67.804mm","73.791mm","67.804mm","T","270.00","100uF"
"C2_B33","CAPC3216M","26.1mm","12.975mm","26.1mm","12.975mm","24.55mm","12.975mm","T","360.00","4.7uF"
"C3_B1","CAPC1608M","5.584mm","68.408mm","5.584mm","68.408mm","6.484mm","68.408mm","B","180.00","47pF"
"C3_B2","CAPC1608M","32.732mm","68.406mm","32.732mm","68.406mm","33.632mm","68.406mm","B","180.00","47pF"
"C3_B3","CAPC1608M","59.666mm","68.429mm","59.666mm","68.429mm","60.566mm","68.429mm","B","180.00","47pF"
"C3_B33","CAPC1608M","19.5mm","9.85mm","19.5mm","9.85mm","19.5mm","8.95mm","T","90.00","220nF"
"C3_B50","CAPC1608M","46.65mm","9.875mm","46.65mm","9.875mm","46.65mm","8.975mm","T","90.00","220nF"
"C4_B1","CAPC1608M","4.684mm","72.833mm","4.684mm","72.833mm","4.684mm","71.933mm","B","90.00","NM"
"C4_B2","CAPC1608M","31.832mm","72.831mm","31.832mm","72.831mm","31.832mm","71.931mm","B","90.00","NM"
"C4_B3","CAPC1608M","58.766mm","72.854mm","58.766mm","72.854mm","58.766mm","71.954mm","B","90.00","NM"
"C4_B33","CAPC1608M","24.4mm","15.975mm","24.4mm","15.975mm","24.4mm","15.075mm","T","90.00","10nF"
"C5_B33","594D107X9016D2T","41.47mm","-0.215mm","41.47mm","2.085mm","41.47mm","2.085mm","T","270.00","100uF"
"C5_B50","594D107X9016D2T","68.62mm","-0.19mm","68.62mm","2.11mm","68.62mm","2.11mm","T","270.00","100uF"
"C100","594D127X0020R2T","26.15mm","67.9mm","26.15mm","65.6mm","26.15mm","65.6mm","B","90.00","100uF"
"C101","594D127X0020R2T","53.15mm","68.15mm","53.15mm","65.85mm","53.15mm","65.85mm","B","90.00","100uF"
"C200","CAPC1608M","15.2mm","53mm","15.2mm","53mm","15.2mm","53.9mm","B","270.00","100nF"
"C201","CAPC1608M","14.2mm","49.5mm","14.2mm","49.5mm","14.2mm","48.6mm","B","90.00","100n"
"C202","CAPC1608M","10.5mm","53mm","10.5mm","53mm","10.5mm","52.1mm","B","90.00","100pF"
"C400","CAPC1608M","3.4mm","11.7mm","3.4mm","11.7mm","3.4mm","10.8mm","B","90.00","1uF"
"D1_B1","SS10p4","-0.891mm","67.478mm","-0.891mm","69.883mm","-0.891mm","69.883mm","T","360.00","SS10P4"
"D1_B2","SS10p4","26.3mm","67.495mm","26.3mm","69.9mm","26.3mm","69.9mm","T","360.00","SS10P4"
"D1_B3","SS10p4","53.2mm","67.495mm","53.2mm","69.9mm","53.2mm","69.9mm","T","360.00","SS10P4"
"D1_B33","SS10p4","34.75mm","-0.61mm","34.75mm","-3.015mm","34.75mm","-3.015mm","T","360.00","SS10P4"
"D1_B50","SS10p4","61.9mm","-0.585mm","61.9mm","-2.99mm","61.9mm","-2.99mm","T","360.00","SS10P4"
"L1_B1","HC9","9.874mm","68.588mm","14.874mm","68.588mm","14.874mm","68.588mm","T","180.00","22uH HC9"
"L1_B2","HC9","37.022mm","68.586mm","42.022mm","68.586mm","42.022mm","68.586mm","T","180.00","22uH HC9"
"L1_B3","HC9","63.956mm","68.609mm","68.956mm","68.609mm","68.956mm","68.609mm","T","180.00","22uH HC9"
"L1_B33","HC9","38.15mm","11.55mm","33.15mm","11.55mm","33.15mm","11.55mm","T","360.00","4.7uH 74477004"
"L1_B50","HC9","65.25mm","11.55mm","60.25mm","11.55mm","60.25mm","11.55mm","T","360.00","4.7uH 74477004"
"P100","PICOBLADE_4_PIN","12.786mm","80.489mm","12.8mm","79.07mm","14.675mm","79.07mm","T","180.00","53398-0471"
"P101","PICOBLADE_4_PIN","34.611mm","80.489mm","34.625mm","79.07mm","36.5mm","79.07mm","T","180.00","53398-0471"
"P102","PICOBLADE_4_PIN","56.4609mm","80.489mm","56.4749mm","79.07mm","58.3499mm","79.07mm","T","180.00","53398-0471"
"P103","PICOBLADE_4_PIN","23.686mm","80.489mm","23.7mm","79.07mm","25.575mm","79.07mm","T","180.00","53398-0471"
"P104","PICOBLADE_4_PIN","45.511mm","80.489mm","45.525mm","79.07mm","47.4mm","79.07mm","T","180.00","53398-0471"
"P105","PICOBLADE_4_PIN","67.411mm","80.494mm","67.425mm","79.075mm","69.3mm","79.075mm","T","180.00","53398-0471"
"P106","HDR2X2H","1.43mm","49.47mm","2.7mm","48.2mm","2.7mm","48.2mm","T","90.00","4WAY"
"P400","Picoblade_6_pin","11.964mm","0.781mm","10.7mm","2.2mm","8.825mm","2.2mm","T","360.00","53261-0671"
"Q1_B1","SOT23","13.409mm","69.183mm","13.409mm","69.183mm","14.359mm","68.0829mm","B","180.00","TN0200K"
"Q1_B2","SOT23","40.557mm","69.181mm","40.557mm","69.181mm","41.507mm","68.0809mm","B","180.00","TN0200K"
"Q1_B3","SOT23","67.491mm","69.204mm","67.491mm","69.204mm","68.441mm","68.1039mm","B","180.00","TN0200K"
"Q2_B1","SUPERSOT-6","0.075mm","73.325mm","0.075mm","72.375mm","1.375mm","72.375mm","T","90.00","FDC637AN"
"Q2_B2","SUPERSOT-6","27.475mm","73.325mm","27.475mm","72.375mm","28.775mm","72.375mm","T","90.00","FDC637AN"
"Q2_B3","SUPERSOT-6","54.4mm","73.35mm","54.4mm","72.4mm","55.7mm","72.4mm","T","90.00","FDC637AN"
"Q200","SOT23","11.6mm","49.3mm","11.6mm","49.3mm","10.65mm","50.4001mm","B","360.00","TN0200K"
"Q201","SOT23","11.5mm","45.4mm","11.5mm","45.4mm","10.3999mm","44.45mm","B","90.00","FDN5618P"
"Q400","SOT23","-0.35mm","17.1mm","-0.35mm","17.1mm","0.7501mm","18.05mm","B","270.00","MMBT5087"
"Q401","sot23","7.8mm","11.7mm","7.8mm","11.7mm","6.6999mm","10.75mm","B","90.00","MMBT5088"
"Q402","sot23","9.8156mm","17.0343mm","9.8156mm","17.0343mm","8.7155mm","16.0844mm","B","90.00","MMBT5088"
"Q404","sot23","10mm","5.4mm","10mm","5.4mm","8.8999mm","4.45mm","B","90.00","MMBT5088"
"R1_B1","RESC1608M","11.784mm","72.733mm","11.784mm","72.733mm","11.784mm","71.783mm","B","90.00","160k"
"R1_B2","RESC1608M","38.932mm","72.731mm","38.932mm","72.731mm","38.932mm","71.781mm","B","90.00","160k"
"R1_B3","RESC1608M","65.866mm","72.754mm","65.866mm","72.754mm","65.866mm","71.804mm","B","90.00","160k"
"R1_B33","RESC1608M","22.71mm","13.515mm","22.71mm","13.515mm","22.71mm","12.565mm","T","90.00","6k8"
"R1_B50","RESC1608M","49.86mm","13.54mm","49.86mm","13.54mm","49.86mm","12.59mm","T","90.00","6k8"
"R2_B1","RESC1608M","13.384mm","72.733mm","13.384mm","72.733mm","13.384mm","73.683mm","B","270.00","100k"
"R2_B2","RESC1608M","40.532mm","72.731mm","40.532mm","72.731mm","40.532mm","73.681mm","B","270.00","100k"
"R2_B3","RESC1608M","67.466mm","72.754mm","67.466mm","72.754mm","67.466mm","73.704mm","B","270.00","100k"
"R2_B33","RESC1608M","21.11mm","13.515mm","21.11mm","13.515mm","21.11mm","12.565mm","T","90.00","3k48"
"R2_B50","RESC1608M","48.26mm","13.54mm","48.26mm","13.54mm","48.26mm","12.59mm","T","90.00","3k48"
"R3_B1","RESC1608M","5.584mm","66.808mm","5.584mm","66.808mm","4.634mm","66.808mm","B","360.00","8k2"
"R3_B2","RESC1608M","32.732mm","66.806mm","32.732mm","66.806mm","31.782mm","66.806mm","B","360.00","8k2"
"R3_B3","RESC1608M","59.666mm","66.829mm","59.666mm","66.829mm","58.716mm","66.829mm","B","360.00","8k2"
"R3_B33","RESC1608M","19.5mm","13.45mm","19.5mm","13.45mm","19.5mm","14.4mm","T","270.00","5k6"
"R3_B50","RESC1608M","46.65mm","13.475mm","46.65mm","13.475mm","46.65mm","14.425mm","T","270.00","5k6"
"R4_B1","RESC1608M","5.584mm","69.908mm","5.584mm","69.908mm","6.534mm","69.908mm","B","180.00","4k3"
"R4_B2","RESC1608M","32.732mm","69.906mm","32.732mm","69.906mm","33.682mm","69.906mm","B","180.00","4k3"
"R4_B3","RESC1608M","59.666mm","69.929mm","59.666mm","69.929mm","60.616mm","69.929mm","B","180.00","4k3"
"R5_B1","RESC1608M","6.2mm","72.8mm","6.2mm","72.8mm","6.2mm","71.85mm","B","90.00","1M"
"R5_B2","RESC1608M","33.332mm","72.831mm","33.332mm","72.831mm","33.332mm","71.881mm","B","90.00","1M"
"R5_B3","RESC1608M","60.266mm","72.854mm","60.266mm","72.854mm","60.266mm","71.904mm","B","90.00","1M"
"R100","FOOTPRINT_1812","-2.1mm","55.1mm","-2.1mm","55.1mm","-2.1mm","57.15mm","T","270.00","0.005R"
"R101","FOOTPRINT_1812","1.6mm","18.5mm","1.6mm","18.5mm","-0.45mm","18.5mm","T","360.00","0.005R"
"R107_B1","FOOTPRINT_1812","20.209mm","72.683mm","20.209mm","72.683mm","20.209mm","74.733mm","T","270.00","0.01R"
"R107_B2","FOOTPRINT_1812","47.357mm","72.681mm","47.357mm","72.681mm","47.357mm","74.731mm","T","270.00","0.01R"
"R107_B3","FOOTPRINT_1812","74.291mm","72.704mm","74.291mm","72.704mm","74.291mm","74.754mm","T","270.00","0.01R"
"R200","RESC1608M","13.6mm","56.6mm","13.6mm","56.6mm","13.6mm","57.55mm","B","270.00","10k"
"R201","RESC1608M","15.2mm","56.6mm","15.2mm","56.6mm","15.2mm","57.55mm","B","270.00","910k"
"R202","RESC1608M","12mm","53mm","12mm","53mm","12mm","53.95mm","B","270.00","300k"
"R203","RESC1608M","8.3mm","47.3mm","8.3mm","47.3mm","8.3mm","48.25mm","B","270.00","300k"
"R204","RESC1608M","12mm","56.6mm","12mm","56.6mm","12mm","57.55mm","B","270.00","8k"
"R205","RESC1608M","19.7mm","49.8mm","19.7mm","49.8mm","18.75mm","49.8mm","B","360.00","NM"
"R206","RESC1608M","15.7mm","46.1mm","15.7mm","46.1mm","15.7mm","47.05mm","B","270.00","75k"
"R207","RESC1608M","17.2mm","49.5mm","17.2mm","49.5mm","17.2mm","50.45mm","B","270.00","33k"
"R208","RESC1608M","14.2mm","46.1mm","14.2mm","46.1mm","14.2mm","47.05mm","B","270.00","100k"
"R209","RESC1608M","15.7mm","49.5mm","15.7mm","49.5mm","15.7mm","48.55mm","B","90.00","68k"
"R210","RESC1608M","9mm","53mm","9mm","53mm","9mm","52.05mm","B","90.00","1M"
"R400","RESC1608M","2.5mm","14.3mm","2.5mm","14.3mm","3.45mm","14.3mm","B","180.00","100k"
"R401","RESC1608M","1.7mm","11.7mm","1.7mm","11.7mm","1.7mm","10.75mm","B","90.00","100k"
"R402","RESC1608M","5.1mm","8.2mm","5.1mm","8.2mm","5.1mm","7.25mm","B","90.00","100R"
"R403","RESC1608M","5.1mm","15.3mm","5.1mm","15.3mm","5.1mm","16.25mm","B","270.00","10k"
"R404","RESC1608M","5.1mm","11.7mm","5.1mm","11.7mm","5.1mm","12.65mm","B","270.00","47k"
"R405","RESC1608M","2.4mm","19.7mm","2.4mm","19.7mm","3.35mm","19.7mm","B","180.00","51k"
"R406","RESC1608M","6.1mm","18mm","6.1mm","18mm","7.05mm","18mm","B","180.00","51k"
"R407","RESC1608M","6.55mm","15.3mm","6.55mm","15.3mm","6.55mm","16.25mm","B","270.00","300k"
"R408","RESC1608M","6.1mm","19.7mm","6.1mm","19.7mm","5.15mm","19.7mm","B","360.00","NM"
"R409","RESC1608M","9.65mm","13.1mm","9.65mm","13.1mm","10.6mm","13.1mm","B","180.00","300k"
"R410","RESC1608M","10.95mm","8.55mm","10.95mm","8.55mm","10.95mm","7.6mm","B","90.00","1k"
"R411","RESC1608M","5.2mm","3.7mm","5.2mm","3.7mm","6.15mm","3.7mm","B","180.00","100k"
"U1_B1","MF05A_N","8.5mm","72.6mm","8.5mm","72.6mm","7.55mm","73.8mm","B","270.00","LMV7239"
"U1_B2","MF05A_N","35.6mm","72.6mm","35.6mm","72.6mm","34.65mm","73.8mm","B","270.00","LMV7239"
"U1_B3","MF05A_N","62.6mm","72.7mm","62.6mm","72.7mm","61.65mm","73.9mm","B","270.00","LMV7239"
"U1_B33","LM22679","25.47mm","4.7025mm","29.28mm","9.315mm","29.28mm","9.315mm","T","180.00","LM22679-ADJ"
"U1_B50","LM22679","52.62mm","4.7275mm","56.43mm","9.34mm","56.43mm","9.34mm","T","180.00","LM22679-ADJ"
"U2_B1","SOT23-5_L","17mm","73.6mm","17mm","73.6mm","15.8mm","72.65mm","B","360.00","MAX4372H"
"U2_B2","SOT23-5_L","43.5mm","73.4mm","43.5mm","73.4mm","42.3mm","72.45mm","B","360.00","MAX4372H"
"U2_B3","SOT23-5_L","70.5mm","73.5mm","70.5mm","73.5mm","69.3mm","72.55mm","B","360.00","MAX4372H"
"U100","SOT23-5_L","-1.26mm","57.93mm","-1.26mm","57.93mm","-0.06mm","58.88mm","B","180.00","MAX4372H"
"U101","SOT23-5_L","4.6mm","24.1mm","4.6mm","24.1mm","5.8mm","25.05mm","B","180.00","MAX4372F"
"U200","MF05A_N","18mm","56.5mm","18mm","56.5mm","16.8mm","55.55mm","B","360.00","LMP2231"
