Netlist

Exported from PowerSupply_Rev4.brd at 12/7/10 9:29 AM

EAGLE Version 5.7.0 Copyright (c) 1988-2010 CadSoft

Net      Part     Pad

+3V3     C-IC16-1 1
         C-IC16-2 1
         C22      P$2
         C36      1
         C37      1
         C38      1
         C39      1
         C40      1
         C41      1
         IC10     5
         IC10     7
         IC11     5
         IC11     7
         IC12     5
         IC12     7
         IC16     21
         IC16     52
         IC18     3
         J1       H2-$27
         J1       H2-$28
         J2       P$11
         J3       P$6
         L2       P$2
         L4       1
         R110     2
         R12      2
         R22      1
         R41      1
         R44      1
         R47      1
         R60      2
         R61      2
         R62      2
         R65      2
         R86      2
         R88      2
         T11      C

+5V      C23      P$2
         C30      1
         C31      1
         C32      1
         C33      1
         C34      1
         C35      1
         IC4      5
         IC4      7
         IC8      5
         IC8      7
         IC9      5
         IC9      7
         J1       H2-$25
         J1       H2-$26
         L3       P$2
         R106     1
         R25      1
         R35      1
         R38      1

/RESET   IC16     20
         IC18     2
         J3       P$3
         R60      1
         R71      2

3V3_BOOST C-IC1    1
         C-IC17   1
         C-IC20   1
         C-IC5    1
         C-IC7    1
         C68      1
         IC1      5
         IC17     5
         IC20     5
         IC21     5
         IC5      5
         IC7      5
         R1       2
         R128     2
         R13      2
         R73      2
         R79      2
         T13      3

AGND     C-IC13   2
         C-IC14   2
         C-IC2    2
         C-IC3    2
         C-IC4    2
         C42      2
         C45      2
         C46      2
         C47      2
         C48      2
         C49      2
         C50      2
         C52      2
         C56      2
         IC16     63
         IC2      2
         IC23     3
         IC24     3
         IC25     3
         IC26     3
         IC3      2
         J1       H2-$31
         R49      1
         R51      1
         R55      1
         R57      1
         R8       1
         R9       1
         U$10     11
         U$11     11
         U$11     2
         U$11     3
         U$12     3
         UREF1    2
         ~NUDEV~1 GNDA

BATT-IO1 IC16     32
         J2       P$7

BATT-IO2 IC16     31
         J2       P$10

BATT-IO3 IC16     30
         J2       P$9

BATT-IO4 IC16     29
         J2       P$8

BAT_CHARGE_END C11      1
         R130     1
         R15      1
         T1       3
         T14      3
         T2       3
         T3       3

BAT_MEAS R10      2
         R16      2
         T12      1

B_OUT    C5       +
         C7       +
         C9       1
         D1       P$3
         D5       P$3
         D6       P$3
         IC2      3
         R6       1

CUR_SUN  IC2      1
         R52      1
         R8       2

CUR_SUN/OUT IC16     61
         R94      1
         U$11     8
         U$11     9

CUR_SYS  IC3      1
         R53      1
         R9       2

CUR_SYS/OUT IC16     60
         R95      1
         U$11     13
         U$11     14

EN-3.3-1 IC11     1
         IC16     38
         Q9       C
         R43      1
         R44      2
         R68      2

EN-3.3-2 IC10     1
         IC16     39
         Q10      C
         R40      1
         R41      2
         R69      2

EN-3.3-3 IC12     1
         IC16     40
         Q11      C
         R46      1
         R47      2
         R70      2

EN-3V3   D9       A
         Q5       C
         R103     2
         R29      2

EN-5-1   IC16     35
         IC8      1
         Q6       C
         R34      1
         R35      2
         R58      2

EN-5-2   IC16     36
         IC4      1
         Q7       C
         R24      1
         R25      2
         R66      2

EN-5-3   IC16     37
         IC9      1
         Q8       C
         R37      1
         R38      2
         R67      2

EN-BUCK  C12      2
         IC5      1
         R18      1
